gene_id,SRR10720198,SRR10720199,SRR10720203,SRR10720205
gene-YBR200W,2164,1948,2136,1872
gene-YBR200W-A,0,0,0,0
gene-YBR201C-A,71,89,81,72
gene-YBR201W,256,222,268,247
gene-YBR202W,3106,2975,3294,2783
gene-YBR203W,839,779,444,312
gene-YBR204C,330,291,358,329
gene-YBR205W,874,787,830,813
gene-YBR207W,1798,1598,1843,1753
gene-YBR208C,1470,1711,1733,1422
gene-YBR209W,1,2,3,2
gene-YBR210W,586,482,565,582
gene-YBR211C,522,442,501,512
gene-YBR212W,2038,2168,2356,1903
gene-YBR213W,436,476,412,406
gene-YBR214W,2906,3072,3161,2442
gene-YBR215W,2257,2096,2220,2078
gene-YBR216C,1035,950,1009,975
gene-YBR217W,182,157,162,164
gene-YBR218C,3097,3413,2940,2636
gene-YBR219C,3,3,5,2
gene-YBR220C,498,418,405,373
gene-YBR221C,904,787,932,769
gene-YBR221W-A,1,0,2,0
gene-YBR222C,842,777,1030,840
gene-YBR223C,886,808,831,800
gene-YBR225W,1917,1913,2248,1870
gene-YBR227C,1481,1435,1385,1322
gene-YBR228W,541,416,455,463
gene-YBR229C,1223,1078,1429,1192
gene-YBR230C,697,687,705,674
gene-YBR230W-A,255,215,266,226
gene-YBR231C,1266,1020,1189,1204
gene-YBR233W,872,811,1005,869
gene-YBR233W-A,929,721,891,872
gene-YBR234C,603,579,686,638
gene-YBR235W,1273,1202,1306,1154
gene-YBR236C,799,676,754,833
gene-YBR237W,1890,1799,1940,1862
gene-YBR238C,2512,2625,1661,1352
gene-YBR239C,775,718,637,544
gene-YBR240C,92,80,60,45
gene-YBR241C,263,337,388,256
gene-YBR242W,395,372,326,315
gene-YBR243C,549,704,826,651
gene-YBR244W,4840,4183,7437,8337
gene-YBR245C,2406,2237,2398,2032
gene-YBR246W,571,506,555,472
gene-YBR247C,1421,1340,1083,1060
gene-YBR248C,2273,3129,2227,1995
gene-YBR249C,1020,1303,924,921
gene-YBR250W,17,21,25,12
gene-YBR251W,838,835,800,806
gene-YBR252W,324,310,298,356
gene-YBR253W,562,566,547,604
gene-YBR254C,212,237,240,228
gene-YBR255C-A,184,181,208,230
gene-YBR255W,1605,1523,1645,1603
gene-YBR256C,906,862,1061,1077
gene-YBR257W,528,473,440,414
gene-YBR258C,1152,1125,1193,1250
gene-YBR259W,374,397,456,397
gene-YBR260C,1717,1621,1762,1452
gene-YBR261C,369,387,336,327
gene-YBR262C,671,587,602,655
gene-YBR263W,964,927,911,810
gene-YBR264C,590,549,521,570
gene-YBR265W,861,758,686,767
gene-YBR267W,3269,3065,2306,2163
gene-YBR268W,785,766,732,804
gene-YBR269C,617,536,527,547
gene-YBR270C,398,399,386,331
gene-YBR271W,445,351,345,301
gene-YBR272C,422,321,402,379
gene-YBR273C,916,823,856,837
gene-YBR274W,226,242,242,205
gene-YBR275C,2118,1998,2721,2270
gene-YBR276C,804,900,955,838
gene-YBR278W,235,201,218,212
gene-YBR279W,4860,4784,4870,4456
gene-YBR280C,459,441,512,501
gene-YBR281C,647,578,943,845
gene-YBR282W,739,702,752,744
gene-YBR283C,741,774,860,705
gene-YBR284W,98,86,111,79
gene-YBR285W,31,35,20,18
gene-YBR286W,5552,5104,4913,4411
gene-YBR287W,691,640,705,609
gene-YBR288C,375,355,432,374
gene-YBR289W,9496,9536,10435,8550
gene-YBR290W,3734,3783,3672,3824
gene-YBR291C,116,112,110,104
gene-YBR292C,66,72,48,43
gene-YBR293W,184,162,170,144
gene-YBR294W,8,8,31,19
gene-YBR295W,596,476,658,602
gene-YBR296C,309,297,190,150
gene-YBR296C-A,0,0,0,0
